iter	Passed	Remaining
0	12	12645
1	22	11416
2	32	10776
3	41	10414
4	50	10045
5	60	9988
6	67	9599
7	74	9286
8	81	9028
9	89	8874
10	96	8696
11	104	8571
12	110	8426
13	118	8344
14	125	8236
15	132	8164
16	139	8079
17	147	8031
18	154	7965
19	161	7913
20	168	7849
21	177	7881
22	184	7833
23	192	7842
24	201	7851
25	208	7821
26	216	7787
27	223	7741
28	230	7703
29	237	7684
30	244	7636
31	251	7605
32	257	7556
33	265	7557
34	272	7510
35	279	7481
36	286	7468
37	295	7483
38	302	7461
39	309	7437
40	316	7408
41	324	7393
42	330	7362
43	338	7349
44	345	7332
45	353	7324
46	361	7339
47	370	7339
48	378	7342
49	385	7326
50	393	7323
51	400	7306
52	408	7292
53	415	7274
54	422	7262
55	431	7270
56	439	7267
57	447	7265
58	456	7273
59	463	7268
60	472	7268
61	479	7249
62	487	7250
63	494	7230
64	501	7217
65	510	7225
66	517	7207
67	525	7197
68	533	7204
69	543	7226
70	551	7212
71	558	7202
72	566	7193
73	575	7195
74	582	7184
75	591	7190
76	598	7172
77	607	7184
78	615	7171
79	623	7174
80	630	7156
81	638	7143
82	645	7133
83	653	7122
84	660	7106
85	667	7090
86	673	7071
87	681	7060
88	687	7041
89	695	7034
90	703	7024
91	711	7021
92	718	7009
93	726	7001
94	733	6987
95	741	6983
96	748	6971
97	756	6962
98	764	6958
99	772	6953
100	780	6947
101	787	6934
102	795	6930
103	805	6943
104	814	6941
105	822	6934
106	830	6932
107	838	6924
108	847	6927
109	856	6930
110	866	6938
111	873	6927
112	881	6916
113	889	6913
114	897	6903
115	903	6882
116	909	6865
117	917	6861
118	925	6849
119	932	6839
120	939	6827
121	948	6829
122	957	6828
123	964	6815
124	973	6815
125	981	6806
126	989	6801
127	996	6790
128	1005	6791
129	1014	6786
130	1022	6781
131	1029	6772
132	1040	6779
133	1050	6789
134	1058	6784
135	1066	6774
136	1073	6764
137	1081	6757
138	1089	6747
139	1096	6738
140	1104	6728
141	1112	6719
142	1119	6712
143	1128	6710
144	1136	6701
145	1144	6694
146	1152	6688
147	1161	6688
148	1170	6684
149	1179	6684
150	1190	6692
151	1199	6693
152	1208	6688
153	1217	6685
154	1227	6692
155	1237	6696
156	1247	6700
157	1258	6706
158	1266	6698
159	1274	6691
160	1282	6683
161	1290	6675
162	1297	6663
163	1305	6653
164	1312	6640
165	1319	6628
166	1326	6617
167	1333	6606
168	1340	6593
169	1348	6585
170	1356	6577
171	1364	6568
172	1372	6558
173	1381	6558
174	1388	6547
175	1396	6538
176	1405	6535
177	1415	6538
178	1425	6538
179	1433	6528
180	1441	6524
181	1450	6519
182	1460	6521
183	1470	6521
184	1479	6517
185	1489	6516
186	1501	6529
187	1510	6522
188	1520	6523
189	1528	6515
190	1537	6512
191	1549	6519
192	1559	6522
193	1570	6523
194	1579	6520
195	1591	6526
196	1601	6528
197	1611	6527
198	1622	6530
199	1632	6528
200	1641	6523
201	1650	6520
202	1659	6517
203	1669	6512
204	1678	6509
205	1686	6501
206	1697	6502
207	1706	6498
208	1718	6502
209	1727	6498
210	1737	6498
211	1749	6502
212	1758	6496
213	1769	6499
214	1780	6501
215	1790	6500
216	1801	6499
217	1809	6492
218	1817	6481
219	1826	6474
220	1834	6465
221	1843	6459
222	1851	6449
223	1860	6446
224	1868	6436
225	1878	6432
226	1886	6423
227	1893	6411
228	1901	6401
229	1907	6387
230	1915	6377
231	1922	6363
232	1929	6352
233	1937	6341
234	1944	6329
235	1951	6317
236	1958	6306
237	1965	6294
238	1973	6285
239	1981	6273
240	1988	6260
241	1995	6251
242	2004	6245
243	2014	6240
244	2021	6229
245	2029	6219
246	2037	6210
247	2044	6200
248	2054	6197
249	2062	6188
250	2070	6178
251	2080	6175
252	2090	6171
253	2100	6168
254	2112	6171
255	2120	6161
256	2127	6149
257	2134	6137
258	2141	6127
259	2147	6113
260	2155	6101
261	2161	6089
262	2170	6081
263	2178	6073
264	2186	6065
265	2194	6054
266	2202	6045
267	2209	6034
268	2215	6021
269	2223	6010
270	2231	6002
271	2239	5995
272	2247	5986
273	2257	5980
274	2265	5971
275	2273	5963
276	2280	5953
277	2288	5943
278	2296	5934
279	2304	5925
280	2311	5913
281	2319	5904
282	2326	5895
283	2334	5885
284	2341	5874
285	2351	5871
286	2360	5864
287	2369	5857
288	2380	5857
289	2389	5849
290	2398	5843
291	2409	5843
292	2420	5839
293	2428	5831
294	2437	5824
295	2444	5814
296	2452	5804
297	2459	5793
298	2468	5788
299	2477	5780
300	2485	5772
301	2494	5766
302	2502	5757
303	2511	5749
304	2521	5745
305	2529	5736
306	2537	5726
307	2544	5716
308	2551	5706
309	2559	5697
310	2567	5688
311	2574	5677
312	2583	5669
313	2590	5658
314	2598	5650
315	2605	5639
316	2612	5629
317	2619	5618
318	2627	5610
319	2636	5601
320	2644	5592
321	2652	5584
322	2660	5576
323	2668	5567
324	2676	5558
325	2684	5550
326	2692	5541
