iter	Passed	Remaining
327	2701	5534
328	2708	5523
329	2716	5514
330	2723	5504
331	2732	5497
332	2740	5489
333	2748	5480
334	2757	5473
335	2765	5465
336	2774	5458
337	2782	5450
338	2792	5445
339	2800	5436
340	2808	5427
341	2817	5420
342	2825	5411
343	2833	5403
344	2840	5393
345	2849	5386
346	2858	5379
347	2868	5374
348	2876	5365
349	2884	5357
350	2893	5349
351	2900	5339
352	2909	5332
353	2920	5329
354	2930	5324
355	2939	5317
356	2949	5311
357	2957	5303
358	2965	5294
359	2974	5287
360	2983	5281
361	2992	5274
362	3003	5269
363	3010	5260
364	3018	5252
365	3026	5242
366	3035	5236
367	3044	5228
368	3052	5219
369	3060	5211
370	3069	5203
371	3077	5194
372	3085	5185
373	3093	5178
374	3100	5167
375	3108	5158
376	3118	5152
377	3125	5143
378	3133	5133
379	3140	5123
380	3148	5115
381	3157	5107
382	3165	5098
383	3171	5088
384	3179	5079
385	3188	5071
386	3196	5063
387	3204	5053
388	3212	5045
389	3220	5036
390	3227	5027
391	3234	5017
392	3242	5008
393	3250	4999
394	3258	4990
395	3265	4981
396	3273	4972
397	3281	4963
398	3289	4954
399	3297	4945
400	3304	4935
401	3313	4928
402	3322	4922
403	3331	4914
404	3340	4907
405	3350	4901
406	3360	4896
407	3370	4890
408	3379	4882
409	3388	4875
410	3400	4872
411	3410	4867
412	3425	4868
413	3434	4861
414	3444	4856
415	3455	4850
416	3465	4844
417	3473	4836
418	3481	4827
419	3489	4818
420	3498	4810
421	3505	4801
422	3515	4794
423	3525	4789
424	3534	4781
425	3543	4774
426	3553	4768
427	3564	4763
428	3575	4758
429	3583	4750
430	3595	4747
431	3604	4739
432	3613	4731
433	3622	4723
434	3633	4719
435	3644	4714
436	3653	4707
437	3664	4702
438	3674	4695
439	3685	4690
440	3695	4684
441	3706	4678
442	3713	4669
443	3724	4664
444	3735	4659
445	3744	4651
446	3754	4645
447	3762	4636
448	3773	4630
449	3782	4622
450	3790	4613
451	3799	4606
452	3809	4599
453	3816	4590
454	3827	4584
455	3834	4574
456	3845	4568
457	3854	4561
458	3862	4552
459	3873	4546
460	3883	4540
461	3892	4532
462	3902	4526
463	3910	4517
464	3920	4510
465	3930	4504
466	3938	4495
467	3949	4489
468	3958	4481
469	3967	4473
470	3974	4464
471	3982	4454
472	3990	4446
473	3997	4436
474	4004	4426
475	4012	4417
476	4019	4406
477	4026	4397
478	4034	4388
479	4043	4380
480	4057	4377
481	4071	4375
482	4084	4371
483	4091	4362
484	4099	4353
485	4108	4344
486	4115	4335
487	4123	4326
488	4131	4317
489	4138	4307
490	4145	4297
491	4154	4289
492	4162	4280
493	4170	4271
494	4177	4261
495	4185	4252
496	4191	4242
497	4199	4233
498	4207	4223
499	4215	4215
500	4224	4207
501	4232	4198
502	4239	4189
503	4247	4179
504	4254	4170
505	4263	4162
506	4270	4152
507	4278	4143
508	4286	4135
509	4294	4126
510	4303	4118
511	4312	4110
512	4322	4102
513	4331	4095
514	4342	4089
515	4357	4086
516	4370	4082
517	4381	4077
518	4392	4070
519	4399	4061
520	4410	4054
521	4417	4045
522	4427	4038
523	4436	4029
524	4443	4020
525	4452	4012
526	4460	4003
527	4469	3995
528	4477	3986
529	4485	3977
530	4496	3971
531	4504	3962
532	4515	3956
533	4525	3949
534	4532	3939
535	4541	3931
536	4549	3922
537	4558	3914
538	4565	3904
539	4573	3896
540	4582	3887
541	4590	3879
542	4598	3870
543	4608	3862
544	4617	3854
545	4625	3845
546	4633	3837
547	4641	3828
548	4648	3818
549	4656	3810
550	4664	3800
551	4673	3792
552	4682	3784
553	4689	3774
554	4696	3765
555	4704	3756
556	4711	3747
557	4721	3739
558	4730	3731
559	4738	3723
560	4745	3713
561	4752	3704
562	4760	3695
563	4768	3686
564	4776	3677
565	4783	3667
566	4792	3659
567	4801	3651
568	4809	3642
569	4816	3633
570	4824	3624
571	4832	3615
572	4840	3607
573	4847	3597
574	4855	3588
575	4862	3579
576	4870	3570
577	4878	3562
578	4886	3553
579	4895	3545
580	4905	3537
581	4913	3529
582	4921	3520
583	4930	3512
584	4939	3504
585	4949	3496
586	4957	3487
587	4965	3479
588	4974	3471
589	4984	3463
590	4993	3455
591	5004	3449
592	5013	3440
593	5021	3431
594	5030	3423
595	5038	3415
596	5046	3406
597	5054	3397
598	5063	3389
599	5071	3380
600	5079	3372
601	5088	3364
602	5096	3355
603	5105	3347
604	5113	3338
605	5120	3329
606	5128	3320
607	5137	3312
608	5144	3302
609	5152	3294
610	5160	3285
611	5168	3276
612	5179	3269
613	5188	3261
614	5199	3255
615	5209	3247
616	5217	3238
617	5226	3230
618	5234	3221
619	5244	3214
620	5252	3205
621	5261	3197
622	5272	3190
623	5282	3183
624	5291	3174
625	5301	3167
626	5311	3159
627	5322	3153
628	5332	3145
629	5341	3137
630	5352	3129
631	5361	3121
632	5371	3114
633	5379	3105
634	5390	3098
635	5399	3090
636	5409	3082
637	5420	3075
638	5428	3066
639	5438	3059
640	5448	3051
641	5458	3043
642	5467	3035
643	5477	3028
644	5485	3019
645	5496	3011
646	5504	3003
647	5513	2994
648	5521	2986
649	5531	2978
650	5546	2973
651	5559	2967
652	5569	2959
653	5579	2951
654	5589	2943
655	5600	2937
656	5612	2930
657	5623	2922
658	5632	2914
659	5640	2905
660	5648	2897
661	5658	2888
662	5666	2880
663	5675	2871
664	5683	2863
665	5693	2855
666	5701	2846
667	5710	2837
668	5719	2829
669	5727	2820
670	5735	2812
671	5745	2804
672	5753	2795
673	5761	2786
674	5769	2777
675	5778	2769
676	5786	2760
677	5796	2752
678	5804	2744
679	5813	2735
680	5820	2726
681	5828	2717
682	5837	2709
683	5845	2700
684	5853	2691
685	5861	2682
686	5870	2674
687	5880	2666
688	5888	2657
689	5899	2650
690	5908	2642
691	5916	2633
692	5924	2624
693	5934	2616
694	5942	2607
695	5949	2598
696	5959	2590
697	5968	2582
698	5979	2574
699	5989	2567
700	5999	2558
701	6009	2551
702	6019	2543
703	6029	2535
704	6038	2526
705	6050	2519
706	6065	2513
707	6081	2508
708	6094	2501
709	6110	2495
710	6124	2489
711	6136	2481
712	6145	2473
713	6154	2465
714	6161	2455
715	6169	2446
716	6175	2437
717	6183	2428
718	6192	2420
719	6200	2411
720	6210	2403
721	6219	2394
722	6229	2386
723	6241	2379
724	6250	2370
725	6260	2362
726	6270	2354
727	6278	2345
728	6287	2337
729	6299	2330
730	6310	2322
731	6321	2314
732	6332	2306
733	6342	2298
734	6353	2290
735	6362	2282
736	6371	2273
737	6384	2266
738	6395	2258
739	6407	2251
740	6416	2242
741	6429	2235
742	6442	2228
743	6452	2220
744	6460	2211
745	6472	2203
746	6481	2195
747	6493	2187
748	6510	2181
749	6530	2176
750	6544	2169
751	6555	2161
752	6566	2153
753	6575	2145
754	6587	2137
755	6598	2129
756	6609	2121
757	6619	2113
758	6631	2105
759	6643	2097
760	6655	2090
761	6668	2082
762	6681	2075
763	6696	2068
764	6712	2061
765	6726	2054
766	6738	2046
767	6747	2038
768	6757	2029
769	6767	2021
770	6776	2012
771	6785	2003
772	6794	1995
773	6802	1986
774	6811	1977
775	6821	1969
776	6828	1959
777	6836	1950
778	6844	1941
779	6852	1932
780	6859	1923
781	6867	1914
782	6874	1905
783	6883	1896
784	6893	1888
785	6900	1878
786	6909	1869
787	6916	1860
788	6924	1851
789	6932	1842
790	6940	1833
791	6948	1824
792	6956	1815
793	6963	1806
794	6971	1797
795	6979	1788
796	6988	1780
797	6997	1771
798	7006	1762
799	7016	1754
800	7024	1745
801	7035	1736
802	7045	1728
803	7054	1719
804	7066	1711
805	7074	1702
806	7083	1693
807	7093	1685
808	7103	1677
809	7111	1668
810	7122	1659
811	7131	1651
812	7140	1642
813	7149	1633
814	7159	1625
815	7168	1616
816	7178	1607
817	7188	1599
818	7201	1591
819	7209	1582
820	7216	1573
821	7224	1564
822	7232	1555
823	7242	1546
824	7251	1538
825	7258	1529
826	7266	1520
827	7273	1510
828	7281	1502
829	7288	1492
830	7296	1483
831	7304	1474
832	7313	1466
833	7320	1457
834	7328	1448
835	7335	1439
836	7343	1430
837	7350	1420
838	7359	1412
839	7366	1403
840	7376	1394
841	7383	1385
842	7391	1376
843	7399	1367
844	7407	1358
845	7414	1349
846	7422	1340
847	7429	1331
848	7437	1322
849	7444	1313
850	7453	1304
851	7461	1296
852	7468	1287
853	7476	1278
854	7484	1269
855	7492	1260
856	7499	1251
857	7507	1242
858	7515	1233
859	7524	1224
860	7532	1216
861	7541	1207
862	7550	1198
863	7558	1189
864	7566	1180
865	7574	1172
866	7582	1163
867	7590	1154
868	7599	1145
869	7607	1136
870	7615	1127
871	7623	1119
872	7633	1110
873	7640	1101
874	7648	1092
875	7655	1083
876	7663	1074
877	7671	1065
878	7678	1057
879	7686	1048
880	7695	1039
881	7703	1030
882	7710	1021
883	7718	1012
884	7727	1004
885	7735	995
886	7743	986
887	7751	977
888	7758	968
889	7766	959
890	7774	951
891	7781	942
892	7789	933
893	7796	924
894	7803	915
895	7811	906
896	7819	897
897	7827	889
898	7835	880
899	7841	871
900	7849	862
901	7857	853
902	7865	844
903	7872	836
904	7880	827
905	7888	818
906	7897	809
907	7904	800
908	7911	792
909	7919	783
910	7928	774
911	7935	765
912	7943	756
913	7951	748
914	7959	739
915	7967	730
916	7974	721
917	7983	713
918	7990	704
919	7998	695
920	8005	686
921	8013	677
922	8020	669
923	8028	660
924	8035	651
925	8044	642
926	8053	634
927	8061	625
928	8068	616
929	8075	607
930	8083	599
931	8090	590
932	8099	581
933	8107	572
934	8115	564
935	8125	555
936	8134	546
937	8143	538
938	8152	529
939	8158	520
940	8166	512
941	8173	503
942	8181	494
943	8188	485
944	8196	477
945	8204	468
946	8211	459
947	8220	450
948	8228	442
949	8236	433
950	8243	424
951	8251	416
952	8259	407
953	8266	398
954	8274	389
955	8282	381
956	8289	372
957	8296	363
958	8304	355
959	8312	346
960	8320	337
961	8327	328
962	8335	320
963	8342	311
964	8350	302
965	8358	294
966	8365	285
967	8373	276
968	8380	268
969	8388	259
970	8397	250
971	8405	242
972	8413	233
973	8420	224
974	8428	216
975	8436	207
976	8444	198
977	8452	190
978	8459	181
979	8467	172
980	8475	164
981	8485	155
982	8493	146
983	8501	138
984	8509	129
985	8517	120
986	8525	112
987	8532	103
988	8540	94
989	8548	86
990	8554	77
991	8562	69
992	8570	60
993	8577	51
994	8585	43
995	8595	34
996	8603	25
997	8612	17
998	8620	8
999	8628	0
