iter	MultiClass
0	1.548534731
1	1.324972424
2	1.1652448
3	1.041554054
4	0.9358494111
5	0.8528092981
6	0.7870763848
7	0.7304680637
8	0.6786141233
9	0.6355307038
10	0.5978314195
11	0.5647325907
12	0.5368187717
13	0.5091960984
14	0.4873491076
15	0.4657787527
16	0.4465152993
17	0.4297049672
18	0.415650102
19	0.4020176206
20	0.3897080518
21	0.3799486253
22	0.3708049773
23	0.361192749
24	0.3542067307
25	0.3464326264
26	0.3391676368
27	0.3329528526
28	0.3269576983
29	0.3202937656
30	0.3154945519
31	0.3115021136
32	0.3072823584
33	0.302205071
34	0.2976866976
35	0.2938409797
36	0.2900881756
37	0.2880923092
38	0.2845518315
39	0.2821072782
40	0.2793437724
41	0.2776995846
42	0.2748595206
43	0.2719143114
44	0.2697885765
45	0.2672984792
46	0.2654946225
47	0.2631133441
48	0.2617136732
49	0.2592948847
50	0.2578832044
51	0.2554652618
52	0.2535142631
53	0.2527223653
54	0.2517033639
55	0.2496377156
56	0.2484526038
57	0.2474078288
58	0.2458810148
59	0.244858642
60	0.2437797957
61	0.2429730377
62	0.2415430389
63	0.2405717154
64	0.2395931163
65	0.2388295543
66	0.2375402855
67	0.2364747012
68	0.235942328
69	0.2352255206
70	0.2346553523
71	0.2338202408
72	0.2330810158
73	0.232519602
74	0.2318782019
75	0.2313349231
76	0.2308440114
77	0.2302348373
78	0.2295329307
79	0.2292412912
80	0.2285938673
81	0.2283534949
82	0.2279552695
83	0.227240537
84	0.2268104191
85	0.2262402097
86	0.2259356796
87	0.2256318888
88	0.2249819982
89	0.2249118045
90	0.22442904
91	0.2239055236
92	0.2235157269
93	0.2231150587
94	0.2227160947
95	0.222351751
96	0.2217663245
97	0.221383828
98	0.2208675855
99	0.2206183124
100	0.2204388118
101	0.2201419755
102	0.2197160254
103	0.2195142328
104	0.2191952783
105	0.219098303
106	0.2185970441
107	0.2182008118
108	0.2180173954
109	0.2175733746
110	0.2172256587
111	0.2168257888
112	0.2164273554
113	0.2162614515
114	0.2158693471
115	0.2156193698
116	0.2154566969
117	0.2153663692
118	0.2148955996
119	0.2146203795
120	0.2143656649
121	0.2140242028
122	0.2138511733
123	0.2135465729
124	0.2132840028
125	0.2130624908
126	0.2128037653
127	0.2127332163
128	0.2124412461
129	0.2123141956
130	0.2121213928
131	0.2120072503
132	0.2118282115
133	0.2115795002
134	0.2115131881
135	0.2113625872
136	0.2112067258
137	0.21109991
138	0.2108927556
139	0.2107217068
140	0.2105210392
141	0.2103466252
142	0.2101177376
143	0.2099802836
144	0.2098624765
145	0.209701835
146	0.2095979628
147	0.2094658058
148	0.2093898635
149	0.2092273862
150	0.209087964
151	0.2090707299
152	0.2089197708
153	0.2087726082
154	0.208611731
155	0.2084628736
156	0.208283588
157	0.2081028194
158	0.2079513284
159	0.2078243
160	0.2076905962
161	0.2075518949
162	0.2074382479
163	0.2073524201
164	0.2072294754
165	0.2071529713
166	0.2070466669
167	0.2068993392
168	0.2068060525
169	0.2066882228
170	0.2065989362
171	0.2064759239
172	0.2063952683
173	0.2062410094
174	0.206168676
175	0.2060898386
176	0.2060479096
